time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.1,0.0,0.0,0.0,0.0,0.09833333333333334
0.2,0.1,0.0,1.0,0.0,0.0,0.1
0.30000000000000004,0.1,0.0,1.0,0.0,0.0,0.19833333333333333
0.4,0.1,0.0,1.0,0.0,0.0,0.2983333333333333
0.5,0.1,0.0,1.0,0.0,0.0,0.39833333333333326
0.6,0.1,0.0,1.0,0.0,0.0,0.49833333333333324
0.7,0.1,0.0,1.0,0.0,0.0,0.5983333333333332
0.7999999999999999,0.1,0.0,1.0,0.0,0.0,0.6983333333333331
0.8999999999999999,0.1,0.0,1.0,0.0,0.0,0.7983333333333331
0.9999999999999999,0.1,0.0,1.0,0.0,0.0,0.8983333333333331
1.0999999999999999,0.1,0.0,1.0,0.0,0.0,0.9983333333333332
1.2,0.1,0.0,1.0,0.0,0.0,1.0983333333333332
1.3,0.1,0.0,1.0,0.0,0.0,1.1983333333333333
1.4000000000000001,0.1,0.0,1.0,0.0,0.0,1.2983333333333333
1.5000000000000002,0.1,0.0,1.0,0.0,0.0,1.3983333333333334
1.6000000000000003,0.1,0.0,1.0,0.0,0.0,1.4983333333333335
1.7000000000000004,0.1,0.0,1.0,0.0,0.0,1.5983333333333336
1.8000000000000005,0.1,0.0,1.0,0.0,0.0,1.6983333333333337
1.9000000000000006,0.1,0.0,1.0,0.0,0.0,1.7983333333333338
2.0000000000000004,0.1,0.0,1.0,0.0,0.0,1.8983333333333337
2.1000000000000005,0.1,0.0,1.0,0.0,0.0,1.998333333333336
2.2000000000000006,0.1,0.0,1.0,0.0,0.0,2.0983333333333363
2.3000000000000007,0.1,0.0,1.0,0.0,0.0,2.1983333333333364
2.400000000000001,0.1,0.0,1.0,0.0,0.0,2.2983333333333364
2.500000000000001,0.1,0.0,1.0,0.0,0.0,2.3983333333333365
2.600000000000001,0.1,0.0,1.0,0.0,0.0,2.4983333333333366
2.700000000000001,0.1,0.0,1.0,0.0,0.0,2.5983333333333367
2.800000000000001,0.1,0.0,1.0,0.0,0.0,2.698333333333337
2.9000000000000012,0.1,0.0,1.0,0.0,0.0,2.798333333333337
3.0000000000000013,0.1,0.0,1.0,0.0,0.0,2.898333333333337
3.1000000000000014,0.1,0.0,1.0,0.0,0.0,2.998333333333337
3.2000000000000015,0.1,0.0,1.0,0.0,0.0,3.098333333333337
3.3000000000000016,0.1,0.0,1.0,0.0,0.0,3.1983333333333372
3.4000000000000017,0.1,0.0,1.0,0.0,0.0,3.2983333333333373
3.5000000000000018,0.1,0.0,1.0,0.0,0.0,3.3983333333333374
3.600000000000002,0.1,0.0,1.0,0.0,0.0,3.4983333333333375
3.700000000000002,0.1,0.0,1.0,0.0,0.0,3.5983333333333376
3.800000000000002,0.1,0.0,1.0,0.0,0.0,3.6983333333333377
3.900000000000002,0.1,0.0,1.0,0.0,0.0,3.798333333333338
4.000000000000002,0.1,0.0,1.0,0.0,0.0,3.8983333333333374
4.100000000000001,0.1,0.0,1.0,0.0,0.0,3.998333333333337
4.200000000000001,0.1,0.0,1.0,0.0,0.0,4.098333333333337
4.300000000000001,0.1,0.0,1.0,0.0,0.0,4.198333333333337
4.4,0.1,0.0,1.0,0.0,0.0,4.2983333333333364
4.5,0.1,0.0,1.0,0.0,0.0,4.398333333333336
4.6,0.1,0.0,1.0,0.0,0.0,4.498333333333336
4.699999999999999,0.1,0.0,1.0,0.0,0.0,4.598333333333335
4.799999999999999,0.1,0.0,1.0,0.0,0.0,4.698333333333335
4.899999999999999,0.1,0.0,1.0,0.0,0.0,4.798333333333335
4.999999999999998,0.1,0.0,1.0,0.0,0.0,4.898333333333334
5.099999999999998,0.1,0.0,1.0,0.0,0.0,4.998333333333334
5.1999999999999975,0.1,0.0,1.0,0.0,0.0,5.098333333333334
5.299999999999997,0.1,0.0,1.0,0.0,0.0,5.198333333333333
5.399999999999997,0.1,0.0,1.0,0.0,0.0,5.298333333333333
5.4999999999999964,0.1,0.0,1.0,0.0,0.0,5.3983333333333325
5.599999999999996,0.1,0.0,1.0,0.0,0.0,5.498333333333332
5.699999999999996,0.1,0.0,1.0,0.0,0.0,5.598333333333332
5.799999999999995,0.1,0.0,1.0,0.0,0.0,5.6983333333333315
5.899999999999995,0.1,0.0,1.0,0.0,0.0,5.798333333333331
5.999999999999995,0.1,0.0,1.0,0.0,0.0,5.898333333333331
6.099999999999994,0.1,0.0,1.0,0.0,0.0,5.99833333333333
6.199999999999994,0.1,0.0,1.0,0.0,0.0,6.09833333333333
6.299999999999994,0.1,0.0,1.0,0.0,0.0,6.19833333333333
6.399999999999993,0.1,0.0,1.0,0.0,0.0,6.298333333333329
6.499999999999993,0.1,0.0,1.0,0.0,0.0,6.398333333333329
6.5999999999999925,0.1,0.0,1.0,0.0,0.0,6.498333333333329
6.699999999999992,0.1,0.0,1.0,0.0,0.0,6.598333333333328
6.799999999999992,0.1,0.0,1.0,0.0,0.0,6.698333333333328
6.8999999999999915,0.1,0.0,1.0,0.0,0.0,6.798333333333328
6.999999999999991,0.1,0.0,1.0,0.0,0.0,6.898333333333327
7.099999999999991,0.1,0.0,1.0,0.0,0.0,6.998333333333327
7.19999999999999,0.1,0.0,1.0,0.0,0.0,7.0983333333333265
7.29999999999999,0.1,0.0,1.0,0.0,0.0,7.198333333333326
7.39999999999999,0.1,0.0,1.0,0.0,0.0,7.298333333333326
