time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.d_front_l,{robot}.robotti_global.d_front_r,{robot}.robotti_global.read_right_wheel_pos,{robot}.robotti_global.rear_left_wheel_pos,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
85.59999999999728,0.05,0.3481962561123235,1.0,0.38626012160285245,0.3167292261950388,-25.30750666666908,-25.30750666666908,-2.7433325799146977,7.166195810536551,-1.4137527495814037
85.64999999999728,0.05,0.3481099254436404,1.0,0.38626012160285245,0.3167292261950388,-25.322306666669082,-25.322306666669082,-2.7323847345852155,7.137767135182576,-1.454884069130599
85.69999999999727,0.05,0.3481099254436404,1.0,0.38615488095388395,0.3166572891290389,-25.337106666669083,-25.337106666669083,-2.7214392883476206,7.108891743004961,-1.4957030207353987
85.74999999999727,0.05,0.34826683997639307,1.0,0.38615488095388395,0.3166572891290389,-25.351906666669084,-25.351906666669084,-2.7104939248373325,7.079571373731912,-1.5362035267476861
85.79999999999727,0.05,0.34826683997639307,1.0,0.38634616952261586,0.31678803990191345,-25.366706666669085,-25.366706666669085,-2.69954420085251,7.049806131772869,-1.5763782117485332
85.84999999999727,0.05,0.34839119521538464,1.0,0.38634616952261586,0.31678803990191345,-25.381506666669086,-25.381506666669086,-2.688594326506497,7.019602663263304,-1.6162244852377192
85.89999999999726,0.05,0.34839119521538464,1.0,0.3864977766323247,0.31689165408490333,-25.396306666669087,-25.396306666669087,-2.6776409968261783,6.9889620955357215,-1.6557356299049208
85.94999999999726,0.05,0.3484800890207427,1.0,0.3864977766323247,0.31689165408490333,-25.411106666669088,-25.411106666669088,-2.6666875479964007,6.957890503975787,-1.694908722744331
85.99999999999726,0.05,0.3484800890207427,1.0,0.3866061567057129,0.3169657180447303,-25.42590666666909,-25.42590666666909,-2.6557316293559725,6.926389873260907,-1.7337376451343474
86.04999999999725,0.05,0.3485104384746496,1.0,0.3866061567057129,0.3169657180447303,-25.44070666666909,-25.44070666666909,-2.64477562554966,6.8944656705036484,-1.7722190727498068
86.09999999999725,0.05,0.3485104384746496,1.0,0.3866431600845314,0.3169910037634308,-25.45550666666909,-25.45550666666909,-2.6338187785559146,6.862121175601595,-1.8103479151622417
86.14999999999725,0.05,0.3486120276985538,1.0,0.3866431600845314,0.3169910037634308,-25.470306666669092,-25.470306666669092,-2.6228619024867403,6.829360837025812,-1.8481200637035742
86.19999999999725,0.05,0.3486120276985538,1.0,0.38676702606264246,0.31707564068998106,-25.485106666669093,-25.485106666669093,-2.611902204138515,6.796186592429228,-1.8855292126015128
86.24999999999724,0.05,0.3488063435578521,1.0,0.38676702606264246,0.31707564068998106,-25.499906666669094,-25.499906666669094,-2.6009424084703228,6.762604284345194,-1.9225724786487548
86.29999999999724,0.05,0.3488063435578521,1.0,0.38700396901423806,0.31723752068368766,-25.514706666669095,-25.514706666669095,-2.589977215041824,6.72861423502159,-1.9592419673460042
86.34999999999724,0.05,0.34880507863066645,1.0,0.38700396901423806,0.31723752068368766,-25.529506666669096,-25.529506666669096,-2.5790118354836595,6.694224015929894,-1.9955364267167843
86.39999999999723,0.05,0.34880507863066645,1.0,0.3870024265276598,0.3172364669456849,-25.544306666669097,-25.544306666669097,-2.5680464910605174,6.659437913897437,-2.0314516331948758
